0,65,59
1,369,1274
2,421,1371
3,455,1442
4,529,1940
5,645,1938
7,805,1927
8,900,2020
6,898,2668
9,929,2840
10,1029,3323
11,1227,3161
13,1395,3064
12,1485,3581
14,1630,3739
16,1688,4189
15,1766,4339
17,1796,4960
18,1980,5398
20,2153,6137
19,2179,6408
21,2259,7038
23,2380,7246
22,2426,7848
24,2456,8022
26,2663,8069
25,2764,8068
28,2825,8134
27,2878,8488
29,2935,8814
30,3059,8929
31,3356,9253
32,3355,9638
33,3456,10178
34,3487,10806
35,3510,11363
36,3688,11306
37,3818,11863
38,3868,12073
40,4073,12305
39,4153,12807
41,4236,12778
42,4315,12715
43,4473,13032
44,4586,13304
45,4640,13302
46,4641,13628
47,4762,13554
48,4996,13445
50,5104,13594
49,5167,13599
51,5243,14530
52,5405,14974
53,5534,15796
54,5597,16033
55,5717,16520
56,5813,16506
57,5839,17154
59,5911,17135
58,6031,17973
60,6092,18540
61,6132,19035
63,6359,19127
62,6424,19111
64,6613,19101
65,6641,19158
66,6683,19325
67,6725,19603
68,6816,19691
69,7055,19587
70,7166,20265
71,7167,21276
72,7315,21914
73,7435,21940
74,7534,22540
76,7614,22918
75,7633,22929
78,7908,23208
77,7993,23730
79,8173,24261
82,8206,24414
80,8217,24854
81,8306,25983
83,8416,26488
85,8584,26810
86,8653,27397
84,8694,27558
88,8922,27510
87,8956,28399
89,9106,28492
90,9173,28626
91,9294,28551
93,9433,28425
92,9443,28502
95,9541,29552
94,9696,29912
96,9813,30464
98,9824,30467
97,9878,30808
99,10044,31826
